lambda0 k theta mu0 sigma alpha epsilon weight
0.231042 805 0.000317072 0.0257995 0.305831 0.00889807 8.95529 9.02464e-05
0.233203 836 0.000271517 0.0341549 0.289486 0.0100595 6.82781 9.894e-05
0.264393 716 0.000349484 0.035329 0.23831 -0.015169 7.48373 9.894e-05
0.231333 1042 0.000231757 0.0356561 0.292579 0.00190798 6.48789 0.000103766
0.240904 710 0.000340426 0.0376434 0.301576 -0.00544359 6.39962 0.000106312
0.235539 759 0.00030016 0.0226885 0.288423 -0.0172748 10.3814 8.44567e-05
0.251174 857 0.000303372 0.0585681 0.319589 -0.000478216 4.28858 0.000141806
0.234006 924 0.000255256 0.0535379 0.29202 0.0190281 4.37086 0.000120567
0.272393 1251 0.000201838 0.0502583 0.270681 0.0143388 5.41987 0.000123761
0.207214 919 0.00022257 0.0319372 0.258222 0.0468487 6.48816 8.63231e-05
0.198141 1625 0.000126779 0.0219896 0.273906 0.104874 9.01067 8.44567e-05
0.198438 1095 0.000178627 0.0174534 0.311138 0.0674746 11.3696 8.26502e-05
0.201066 759 0.000268387 0.0406217 0.311779 0.0185769 4.94973 0.000103766
0.23566 1089 0.000229067 0.0430971 0.30344 0.0169622 5.46812 0.00011454
0.238252 761 0.000300199 0.0840073 0.277286 0.0102299 2.83608 0.000174522
0.285088 921 0.000307381 0.037209 0.274157 -0.00202886 7.6618 9.23091e-05
0.236829 1847 0.000133159 0.0785964 0.278417 0.0949047 3.01323 0.000127083
0.28131 1842 0.000154201 0.0333159 0.305645 0.0638766 8.44373 9.23091e-05
0.230544 1715 0.000132784 0.0134656 0.307053 0.0577476 17.1209 8.26502e-05
0.275662 1079 0.000251904 0.0273452 0.259645 0.0124274 10.0808 8.63231e-05
0.223866 772 0.000273113 0.0486316 0.302489 -0.0123522 4.60329 0.000111694
0.212678 769 0.000271172 0.0223977 0.329822 0.0124584 9.49552 9.23091e-05
0.216821 765 0.000275333 0.0490324 0.308224 0.026001 4.42199 0.000106312
0.231132 875 0.000254145 0.0232027 0.276717 0.0190938 9.96143 8.63231e-05
0.21626 1040 0.000203436 0.0470071 0.289182 0.0512825 4.60058 0.000106312
0.236826 1342 0.000178284 0.035604 0.281394 0.070058 6.65168 9.66525e-05
0.225489 1018 0.000233305 0.0229438 0.306615 0.0333107 9.8279 9.02464e-05
0.256184 1247 0.000195766 0.039295 0.267565 0.0515122 6.51952 0.000103766
0.261328 824 0.000303459 0.0238228 0.304053 0.0213235 10.9697 8.82521e-05
0.257334 2124 0.000123514 0.0658749 0.318841 0.0499548 3.90641 0.000103766
0.230232 831 0.000286523 0.0500159 0.256425 -0.00391892 4.60317 0.000130541
0.224048 699 0.000319978 0.0414955 0.298192 -0.0188928 5.39933 0.000120567
0.242411 1147 0.000216038 0.0607199 0.292195 0.0363737 3.99229 0.00011454
0.278426 814 0.000332173 0.0514445 0.288398 -0.0261845 5.41217 0.000106312
0.278672 1117 0.000247408 0.062403 0.293332 0.0157624 4.46569 0.000134142
0.255926 783 0.000333065 0.0352194 0.28793 -0.0189765 7.26663 8.63231e-05
0.228671 754 0.000303138 0.0351701 0.301721 0.0081715 6.50186 0.000106312
0.173127 337 0.000499818 0.00115877 0.338517 -0.120066 149.406 7.14842e-05
0.185554 335 0.000523063 0.00212549 0.343312 -0.0506648 87.2992 7.44317e-05
0.192189 387 0.000499549 0.00298427 0.306317 -0.074522 64.4006 7.14842e-05
0.186508 359 0.000513898 0.00792916 0.371944 -0.0690822 23.5218 7.92069e-05
0.163635 357 0.000474714 0.0126583 0.35544 -0.0313315 12.927 7.92069e-05
0.170579 348 0.000510985 0.000801263 0.359208 -0.175482 212.888 7.14842e-05
0.193033 359 0.000529613 0.0233413 0.409949 -0.070482 8.27002 9.23091e-05
0.223725 395 0.000530652 0.000672701 0.359339 -0.134662 332.577 7.14842e-05
0.202812 388 0.000557773 0.00892412 0.361936 -0.107677 22.7263 7.29356e-05
0.180833 375 0.000484113 0.00809662 0.363057 -0.0828741 22.3344 7.59743e-05
0.18358 378 0.000477144 0.0212574 0.324756 -0.0334736 8.63606 7.92069e-05
0.154505 358 0.000465474 0.0141556 0.378586 -0.0806301 10.9148 7.92069e-05
0.203079 364 0.000510131 0.023818 0.344545 -0.0844249 8.52627 9.44434e-05
0.207834 386 0.000540027 0.0201515 0.318367 -0.0920651 10.3136 8.63231e-05
0.171528 352 0.000509833 0.00653338 0.323861 -0.0325091 26.254 7.14842e-05
0.175478 364 0.000506579 0.0165644 0.389844 -0.0778287 10.5937 8.44567e-05
0.180444 353 0.000514304 0.00316302 0.386175 -0.0695762 57.048 7.29356e-05
0.190173 366 0.000489311 0.000506389 0.33672 -0.0430211 375.547 7.14842e-05
0.150088 330 0.000498681 0.00316494 0.348364 -0.154973 47.4221 7.59743e-05
0.198754 381 0.000528592 0.00797478 0.31782 -0.0725561 24.9228 7.59743e-05
0.217523 404 0.00053382 0.00959998 0.294788 -0.0771859 22.6587 8.09011e-05
0.180429 389 0.000478741 0.00333596 0.362154 -0.00437094 54.0862 7.29356e-05
0.323992 495 0.000616405 0.0203181 0.286607 -0.078069 15.946 8.63231e-05
0.29931 492 0.000647411 0.0383646 0.27961 -0.158641 7.80173 8.63231e-05
0.270875 446 0.000628727 0.0285158 0.249192 -0.158419 9.49912 8.63231e-05
0.325787 486 0.000687918 0.0478711 0.289084 -0.116015 6.80551 9.66525e-05
0.377634 559 0.000671988 0.0310456 0.295461 -0.0668851 12.1638 8.82521e-05
0.278919 465 0.000600951 0.0227343 0.262266 -0.138119 12.2686 7.75653e-05
0.2412 397 0.000608265 0.0256258 0.241689 -0.164485 9.41237 8.44567e-05
0.299748 421 0.000675581 0.00876455 0.254209 -0.200292 34.2001 7.59743e-05
0.283705 476 0.000602133 0.0325035 0.264103 -0.0871874 8.72843 8.82521e-05
0.295608 442 0.000644815 0.0300065 0.262943 -0.164906 9.85147 8.63231e-05
0.284787 449 0.0006154 0.0798469 0.22427 -0.118748 3.56666 0.000123761
0.29459 464 0.000644167 0.0251182 0.240033 -0.119577 11.7282 9.02464e-05
0.276073 575 0.000456954 0.0491046 0.382792 -0.158008 5.62216 0.000106312
0.242316 525 0.000440948 0.0221422 0.51527 -0.20134 10.9436 8.82521e-05
0.208784 457 0.000464625 0.0170853 0.408558 -0.257977 12.2201 8.26502e-05
0.233715 555 0.000416527 0.0208309 0.428098 -0.14397 11.2196 7.59743e-05
0.23627 517 0.000457233 0.00858358 0.468651 -0.161182 27.5258 7.75653e-05
0.235776 678 0.000333353 0.04204 0.388368 -0.00834321 5.60838 0.000117495
0.262437 646 0.00041425 0.0214779 0.369042 -0.0703788 12.2189 8.09011e-05
0.228911 591 0.000390724 0.0414889 0.386461 -0.093069 5.5174 0.00011454
0.25147 570 0.000421807 0.0590433 0.330268 -0.116031 4.25908 0.000130541
0.242116 582 0.000403224 0.0384904 0.356136 -0.111343 6.2903 8.82521e-05
0.228282 666 0.000361789 0.0419641 0.400292 -0.0682688 5.43994 9.44434e-05
0.232503 577 0.000405314 0.0450641 0.424969 -0.0855985 5.15939 0.000103766
0.241866 1007 0.000246558 0.0786884 0.3358 0.00254437 3.07372 0.000120567
0.215242 568 0.000367599 0.0329078 0.433649 -0.098571 6.54076 9.02464e-05
0.269689 578 0.000443858 0.0455046 0.407896 -0.0940053 5.92662 0.000106312
0.252439 642 0.000398233 0.0250544 0.41161 -0.093618 10.0756 9.02464e-05
0.253406 589 0.000422968 0.0452503 0.337942 -0.084417 5.6001 9.66525e-05
0.273527 661 0.00043021 0.02625 0.400482 -0.107532 10.4201 8.44567e-05
0.202817 479 0.00040514 0.0375383 0.374687 -0.0395596 5.40293 0.00011454
0.210498 564 0.000400638 0.0338665 0.410794 -0.0855324 6.21551 0.000108953
0.245834 650 0.000370331 0.0355792 0.41121 -0.0644361 6.9095 0.00010131
0.177974 636 0.000280716 0.0590881 0.467498 -0.0371286 3.01201 0.000130541
0.194534 546 0.000376922 0.0609986 0.400382 -0.109116 3.18915 0.000123761
0.219638 505 0.000430779 0.0492267 0.338248 -0.132462 4.46177 0.000137894
0.269795 539 0.000505424 0.048657 0.405547 -0.184596 5.54484 0.000103766
0.175926 473 0.00038747 0.0404126 0.409397 -0.135638 4.35324 0.000108953
