lambda0 sigma alpha epsilon weight
0.32036 0.237299 0.913268 0.607443 0.000111749
0.32036 0.237299 0.913268 0.607443 0.000170952
0.32036 0.237299 0.913268 0.607443 0.000127507
0.32036 0.237299 0.913268 0.607443 9.49073e-05
0.32036 0.237299 0.913268 0.607443 7.09147e-05
0.32036 0.237299 0.913268 0.607443 0.000102813
0.32036 0.237299 0.913268 0.607443 0.000154284
0.32036 0.237299 0.913268 0.607443 7.87162e-05
0.32036 0.237299 0.913268 0.607443 0.000111749
0.32036 0.237299 0.913268 0.607443 0.000162297
0.32036 0.237299 0.913268 0.607443 9.87416e-05
0.32036 0.237299 0.913268 0.607443 0.000133507
0.32036 0.237299 0.913268 0.607443 0.000127507
0.32036 0.237299 0.913268 0.607443 9.87416e-05
0.32036 0.237299 0.913268 0.607443 0.000102813
0.32036 0.237299 0.913268 0.607443 0.00013994
0.32036 0.237299 0.913268 0.607443 0.000154284
0.32036 0.237299 0.913268 0.607443 0.000133507
0.32036 0.237299 0.913268 0.607443 0.00013994
0.32036 0.237299 0.913268 0.607443 0.000162297
0.32036 0.237299 0.913268 0.607443 0.00013994
0.32036 0.237299 0.913268 0.607443 0.000102813
0.32036 0.237299 0.913268 0.607443 0.000107141
0.32036 0.237299 0.913268 0.607443 0.000127507
0.32036 0.237299 0.913268 0.607443 0.000116661
0.32036 0.237299 0.913268 0.607443 8.4655e-05
0.32036 0.237299 0.913268 0.607443 0.000102813
0.32036 0.237299 0.913268 0.607443 0.00013994
0.32036 0.237299 0.913268 0.607443 0.000102813
0.32036 0.237299 0.913268 0.607443 0.000111749
0.32036 0.237299 0.913268 0.607443 0.000102813
0.32036 0.237299 0.913268 0.607443 8.4655e-05
0.32036 0.237299 0.913268 0.607443 0.000102813
0.32036 0.237299 0.913268 0.607443 0.000116661
0.32036 0.237299 0.913268 0.607443 0.000116661
0.32036 0.237299 0.913268 0.607443 0.000146849
0.32036 0.237299 0.913268 0.607443 0.00013994
0.32036 0.237299 0.913268 0.607443 0.000107141
0.32036 0.237299 0.913268 0.607443 0.00013994
0.32036 0.237299 0.913268 0.607443 9.12922e-05
0.32036 0.237299 0.913268 0.607443 0.00013994
0.32036 0.237299 0.913268 0.607443 0.000111749
0.32036 0.237299 0.913268 0.607443 0.000116661
0.32036 0.237299 0.913268 0.607443 0.00013994
0.32036 0.237299 0.913268 0.607443 0.000102813
0.32036 0.237299 0.913268 0.607443 0.000170952
0.32036 0.237299 0.913268 0.607443 0.000146849
