lambda0 k theta sigma alpha epsilon weight
1.26147 22331 5.64051e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25336 22331 5.64051e-05 0.357794 0.912372 0.85804 2.5637e-05
1.27128 22331 5.64051e-05 0.357794 0.912372 0.85804 0.000176655
1.25642 22331 5.64051e-05 0.357794 0.912372 0.85804 2.5637e-05
1.26342 22331 5.64051e-05 0.357794 0.912372 0.85804 6.68988e-05
1.25823 22331 5.64051e-05 0.357794 0.912372 0.85804 4.41637e-05
1.24101 22331 5.64051e-05 0.357794 0.912372 0.85804 3.48948e-05
1.25644 22333 5.63718e-05 0.357794 0.912372 0.85804 2.5637e-05
1.26811 22333 5.63718e-05 0.357794 0.912372 0.85804 9.34372e-05
1.26047 22333 5.63718e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26463 22333 5.63718e-05 0.357794 0.912372 0.85804 9.34372e-05
1.25508 22333 5.63718e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25705 22333 5.63718e-05 0.357794 0.912372 0.85804 0.000113059
1.25183 22333 5.63718e-05 0.357794 0.912372 0.85804 3.91208e-05
1.24813 22333 5.63718e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26417 22327 5.63903e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26655 22431 5.60323e-05 0.357794 0.912372 0.85804 5.76832e-05
1.2545 22431 5.60323e-05 0.357794 0.912372 0.85804 3.48948e-05
1.25965 22449 5.59957e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25396 22425 5.60442e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25582 22419 5.60793e-05 0.357794 0.912372 0.85804 9.34372e-05
1.23976 22419 5.60793e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26485 22419 5.60793e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26151 22419 5.60793e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25319 22419 5.60793e-05 0.357794 0.912372 0.85804 0.000113059
1.25522 22433 5.60608e-05 0.357794 0.912372 0.85804 3.48948e-05
1.25735 22433 5.60608e-05 0.357794 0.912372 0.85804 7.85132e-05
1.25571 22433 5.60608e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25227 22433 5.60608e-05 0.357794 0.912372 0.85804 9.34372e-05
1.25335 22433 5.60608e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26434 22433 5.60608e-05 0.357794 0.912372 0.85804 3.13183e-05
1.25938 22433 5.60509e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26027 22433 5.60509e-05 0.357794 0.912372 0.85804 3.13183e-05
1.24426 22433 5.60509e-05 0.357794 0.912372 0.85804 4.41637e-05
1.2559 22433 5.60509e-05 0.357794 0.912372 0.85804 3.13183e-05
1.25736 22433 5.60509e-05 0.357794 0.912372 0.85804 2.82648e-05
1.25982 22433 5.60509e-05 0.357794 0.912372 0.85804 3.91208e-05
1.27088 22435 5.60462e-05 0.357794 0.912372 0.85804 5.76832e-05
1.24606 22435 5.60462e-05 0.357794 0.912372 0.85804 3.48948e-05
1.25703 22435 5.60462e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25268 22435 5.60462e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25369 22435 5.60462e-05 0.357794 0.912372 0.85804 2.5637e-05
1.26922 22435 5.60462e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25259 22435 5.60462e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25335 22435 5.60462e-05 0.357794 0.912372 0.85804 3.48948e-05
1.24937 22435 5.60462e-05 0.357794 0.912372 0.85804 3.91208e-05
1.27461 22435 5.60462e-05 0.357794 0.912372 0.85804 2.5637e-05
1.25258 22433 5.60383e-05 0.357794 0.912372 0.85804 5.76832e-05
1.24945 22433 5.60383e-05 0.357794 0.912372 0.85804 2.33593e-05
1.26105 22433 5.60383e-05 0.357794 0.912372 0.85804 3.13183e-05
1.24906 22433 5.60383e-05 0.357794 0.912372 0.85804 1.80894e-05
1.25331 22433 5.60383e-05 0.357794 0.912372 0.85804 3.13183e-05
1.24922 22433 5.60383e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26116 22433 5.60493e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26434 22433 5.60493e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26076 22433 5.60493e-05 0.357794 0.912372 0.85804 4.41637e-05
1.2513 22433 5.60493e-05 0.357794 0.912372 0.85804 2.33593e-05
1.25212 22433 5.60493e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26058 22435 5.60439e-05 0.357794 0.912372 0.85804 7.85132e-05
1.26667 22435 5.60439e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26003 22435 5.60439e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26253 22435 5.60439e-05 0.357794 0.912372 0.85804 0.000176655
1.24245 22435 5.60439e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25525 22435 5.60439e-05 0.357794 0.912372 0.85804 3.13183e-05
1.25644 22435 5.60439e-05 0.357794 0.912372 0.85804 5.02485e-05
1.2517 22433 5.60513e-05 0.357794 0.912372 0.85804 3.48948e-05
1.24762 22433 5.60513e-05 0.357794 0.912372 0.85804 7.85132e-05
1.26032 22433 5.60513e-05 0.357794 0.912372 0.85804 5.02485e-05
1.24189 22433 5.60513e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26098 22433 5.60513e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25342 22433 5.60513e-05 0.357794 0.912372 0.85804 0.000113059
1.26426 22433 5.60574e-05 0.357794 0.912372 0.85804 0.000139579
1.25942 22433 5.60574e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26739 22433 5.60574e-05 0.357794 0.912372 0.85804 3.91208e-05
1.27109 22433 5.60574e-05 0.357794 0.912372 0.85804 4.41637e-05
1.27289 22433 5.60574e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25273 22433 5.60574e-05 0.357794 0.912372 0.85804 9.34372e-05
