lambda,	weight
12.3916,	-11.194
7.13135,	-11.7465
9.17813,	-11.4942
10.299,	-11.379
6.38632,	-11.8569
9.31665,	-11.4792
12.9142,	-11.1527
13.3941,	-11.1162
4.41486,	-12.226
8.69231,	-11.5486
10.9745,	-11.3154
11.0969,	-11.3044
7.5703,	-11.6868
6.59053,	-11.8254
10.7572,	-11.3354
5.72906,	-11.9655
12.1641,	-11.2125
16.2992,	-10.9199
9.811,	-11.4275
4.2429,	-12.2658
10.0579,	-11.4027
9.56189,	-11.4532
5.74584,	-11.9625
11.0471,	-11.3088
4.10942,	-12.2977
14.0781,	-11.0664
6.22708,	-11.8821
14.2065,	-11.0573
6.70193,	-11.8086
8.7976,	-11.5365
5.54902,	-11.9974
6.81739,	-11.7915
10.0526,	-11.4032
12.7455,	-11.1658
6.51673,	-11.8366
8.45146,	-11.5767
7.05589,	-11.7572
6.80825,	-11.7929
11.327,	-11.2838
5.5426,	-11.9986
9.08779,	-11.5041
7.27318,	-11.7268
10.084,	-11.4001
7.01895,	-11.7624
5.76905,	-11.9585
5.08861,	-12.084
6.10675,	-11.9016
11.9145,	-11.2333
7.73308,	-11.6655
12.4533,	-11.189
8.82186,	-11.5338
9.29815,	-11.4812
8.5083,	-11.57
11.3462,	-11.2821
7.96232,	-11.6363
10.3004,	-11.3788
4.41211,	-12.2267
7.01605,	-11.7628
6.5202,	-11.8361
10.6182,	-11.3484
8.10407,	-11.6186
9.85772,	-11.4228
11.6595,	-11.2549
7.5401,	-11.6908
9.52221,	-11.4574
11.8542,	-11.2383
7.29801,	-11.7234
9.7428,	-11.4345
7.5984,	-11.6831
9.62221,	-11.4469
7.44751,	-11.7031
11.1488,	-11.2997
9.17837,	-11.4942
12.8249,	-11.1596
9.49972,	-11.4598
5.4248,	-12.02
5.89964,	-11.9361
9.38392,	-11.472
13.9829,	-11.0732
10.6591,	-11.3446
9.78141,	-11.4305
6.66045,	-11.8148
16.9596,	-10.8802
7.00385,	-11.7646
6.67748,	-11.8123
11.8391,	-11.2396
8.02604,	-11.6283
15.2584,	-10.9859
6.48446,	-11.8416
11.8426,	-11.2393
8.3435,	-11.5895
7.6358,	-11.6782
6.09325,	-11.9038
7.89133,	-11.6453
8.31749,	-11.5927
9.51461,	-11.4582
7.20716,	-11.7359
6.81157,	-11.7924
5.57872,	-11.9921
6.97047,	-11.7693
8.57039,	-11.5627
6.11542,	-11.9002
8.22052,	-11.6044
10.7852,	-11.3328
9.15356,	-11.4969
12.8919,	-11.1544
14.9431,	-11.0068
11.0217,	-11.3112
9.23378,	-11.4881
5.34368,	-12.0351
4.3459,	-12.2418
4.65742,	-12.1726
4.67278,	-12.1693
7.08176,	-11.7535
9.87657,	-11.4209
7.66048,	-11.6749
7.31307,	-11.7214
7.39477,	-11.7102
10.6187,	-11.3484
5.31588,	-12.0403
9.56537,	-11.4529
8.74519,	-11.5425
8.47482,	-11.5739
10.3233,	-11.3766
6.48306,	-11.8418
7.66117,	-11.6749
9.36908,	-11.4736
9.86427,	-11.4221
12.2945,	-11.2019
10.3083,	-11.3781
10.3431,	-11.3747
10.0279,	-11.4056
7.10898,	-11.7497
10.7464,	-11.3364
5.30852,	-12.0417
15.983,	-10.9395
8.8549,	-11.53
8.61294,	-11.5578
6.82696,	-11.7901
10.4191,	-11.3674
6.64958,	-11.8165
